timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-03-05T16:37:41.432Z,hermes-3-llama-3.2-3b,tell me about python strings,435,163,598,2910,205.52,0.5,12th Gen Intel(R) Core(TM) i5-12400F,12,0.65,2496,64,27,Intel(R) Arc(TM) A770 Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-08T19:59:27.096Z,hermes-3-llama-3.2-3b,what is python,484,53,537,1528,351.34,0.5,12th Gen Intel(R) Core(TM) i5-12400F,12,0,2496,64,19,Intel(R) Arc(TM) A770 Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-09T14:24:58.545Z,hermes-3-llama-3.2-3b,what are python libraries,529,171,700,5146,136.02,0.5,12th Gen Intel(R) Core(TM) i5-12400F,12,0,2496,64,19,Intel(R) Arc(TM) A770 Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-10T01:59:35.243Z,hermes-3-llama-3.2-3b,Hello,175,2,177,150,1183.32,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,23,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-02-27T15:38:20.341Z,llama-3.2-3b-instruct,Hello,155,2,157,552,284.38,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,0,2496,16,93,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-02-27T15:43:53.371Z,llama-3.2-3b-instruct,Hello,155,2,157,643,244.35,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,0,2496,16,94,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-02-27T15:44:19.396Z,llama-3.2-3b-instruct,Hello,155,2,157,719,218.42,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,5.06,2496,16,93,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-02-27T15:52:28.885Z,llama-3.2-3b-instruct,What are the differences between tuples and lists in Python?,501,77,578,20959,27.58,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,3.31,2496,16,93,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-02-27T16:52:16.597Z,llama-3.2-3b-instruct,Hello,155,2,157,5665,27.71,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,1.78,2496,16,92,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-02-27T16:52:37.921Z,llama-3.2-3b-instruct,What are lists in Python?,496,41,537,13661,39.31,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,11.11,2496,16,92,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-02-27T23:21:22.520Z,llama-3.2-3b-instruct,Hello,155,25,180,406,443.61,0.5,Intel(R) Xeon(R) w9-3595X,64,0,1992,64,30,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
